"ID","Name","Source","Repository","License","Language","Formats","Tags","Duplicates","Elements","Relationship","Views"
"_Nr7xQMqAEeuyUouQYKpTOg","PSB UML","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","13","7","3"
"id-8fd1f70c","PSNModelMate","GitHub","mwherman2000/PSN.ModelMate","MIT","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","5","279","217","17"
"id-43a1bdf8-2694-4d8b-934d-718f7f69e9b2","Archisurance","GitHub","jbaragry/ardoq-archimate","Other","en","XML,JSON","DUPLICATE","1","122","178","17"
"id-36b3539fd2ba491ebe6261a883f3a4f1","Docker networking","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","39","108","2"
"0c6fbcf4-57de-4e25-a1b4-d9a0fa460c16","ASPICE","GitHub","alef1986/ASPICE-Archi","GNU General Public License v3.0","en","XML,CSV,JSON,ARCHIMATE","","0","639","1296","68"
"id-e5f13cc121154144b7817df176c00f7b","pizza-delivery","GitHub","MrRubberneck/archibald","Apache License 2.0","en","ARCHIMATE,XML,CSV,JSON","","0","21","23","1"
"_nrg4UJLBEe29ie0vpi-P5A","ahahaha","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","19","20","1"
"1f0d7762-0011-48d2-a572-f535f1e5a423","Open Government of Canada Architecture Git Repository","GitHub","canada-ca/architecture","MIT License","en","XML,CSV,JSON,ARCHIMATE","","0","88","63","29"
"_gOHFUBKcEeuxZMUIY-ihGw","enterprise","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","12","27","2"
"id-0e531b30","11 domain events","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","147","239","6"
"e78440e0","Interpreter","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","60","81","2"
"id-b8ac1695278943f9be71a3b30618decd","Proyecto","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","80","77","7"
"id-34b271d20e4d4b848671f4e6c994f50a","Zoo","GitHub","FrostTusk/Zoo-ArchiMate","MIT","en","XML,CSV,JSON,ARCHIMATE","","0","180","257","14"
"f29d6443-86f3-4938-a117-ca42f5e0e61f","System and Software Engineering Standards","GitHub","alef1986/Systems-Engineering-Standards","GNU General Public License v3.0","en","XML,CSV,JSON,ARCHIMATE","","0","94","88","4"
"4f5cd366","8 Coarse-Grained Lock","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","31","49","1"
"8eb1f645","10 published language","GitHub","wilmerkrisp/patterns","Other","en","XML,CSV,JSON,ARCHIMATE","","0","33","65","3"
"_SJzDMK3AEemHYc7DDM2g2A","","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","120","160","10"
"_i10OYEesEeqonN_RS9oRzw","Angular22","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","20","17","3"
"id-54c7dff1caa743febe6d27e02ae711df","Example","Unknown","","","en","XML,CSV,JSON,ARCHIMATE","DUPLICATE","1","27","35","1"
"id-0483c8a4a504441aa8658e8c48cf50c3","SPC19","GitHub","Universidad-de-La-Laguna/catedraBOB-spc19-doc","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","137","259","5"
"_HhbHILFjEeuARqq-icHx7Q","payments-arch2","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","24","19","2"
"_jYI1EBeYEeqDmNBP3mfLQg","PRINCE2","GenMyModel","","","en","XML,CSV,JSON,ARCHIMATE","","0","12","18","1"
"id-8688bca85fdd4a2da3f91f3e1e4fb514","BIZBOK10.0","GitHub","yasenstar/enterprise_architecture","GNU General Public License v3.0","en","XML,CSV,JSON,ARCHIMATE","","0","289","276","22"
"6381b05a-ab98-4983-947c-b38dbe0460b8","Pattern179: YouHaveMail","GitHub","robertorgarcia/EAPatterns","Not found","en","XML,CSV,JSON,ARCHIMATE","","0","82","173","7"
"id-c495f4d2-49b4-429c-a8d6-2b111d156b06","Interoperability testing snippet-7","GitHub","","","en","XML,CSV,JSON,ARCHIMATE","","0","12","15","1"
